server	intended	corrupted	ask	baidu	bing	duckduckgo	google	sogou	yahoo	yandex	youdao
1	Liveinternet	libeinterjey	false	false	false	403	false	false	true	false	false
2	Surveymonkey	sufge6monkey	false	false	false	false	true	false	false	false	true
3	Secureserver	secufwserfer	false	true	false	true	true	false	false	false	false
3	Espncricinfo	espjcrufinfo	false	true	false	false	true	false	true	false	false
3	Surveymonkey	dhrveymonk4y	false	false	false	true	true	false	false	false	false
2	Spaceshipads	wpacedhipqds	false	false	false	false	false	false	false	false	false
2	Shutterstock	shut6efstocl	false	false	true	true	false	false	false	false	false
2	Liveinternet	liveingerhrt	false	false	false	false	false	false	false	false	false
3	Steampowered	steqmpowdeed	false	false	false	false	true	false	false	false	false
2	Steampowered	steampl2eted	false	false	false	false	false	true	false	false	false
3	Extratorrent	exfragorreng	false	false	false	true	false	false	false	false	false
3	Mercadolivre	mrrvadolibre	false	true	true	false	true	false	true	false	false
3	Shutterstock	shittersgodk	false	false	true	true	true	false	true	false	false
3	Infusionsoft	infusiina0ft	false	false	false	true	true	false	false	false	false
2	Infusionsoft	infusiohskf6	false	false	true	true	true	false	false	false	false
2	Surveymonkey	xurveymonieg	false	true	true	true	true	false	false	false	false
3	Infusionsoft	infjsiinsofg	false	false	false	true	false	false	false	false	false
3	Spaceshipads	zpacezhipada	false	false	false	false	false	false	false	false	false
3	Spaceshipads	spacesj8padz	false	false	false	false	false	false	false	false	false
2	Steampowered	steanpo2ersd	false	false	true	false	true	false	false	false	false
2	Shutterstock	shuttrrztkck	false	false	true	true	true	false	false	false	false
2	Espncricinfo	esonceicinfl	false	false	true	false	true	false	false	false	false
2	Secureserver	xrcureserved	false	true	true	true	false	false	false	false	false
2	Secureserver	secheeserve4	false	false	false	false	false	false	false	false	false
3	Extratorrent	exyeatorr3nt	false	false	true	true	true	false	false	false	false
3	Secureserver	secudeserbdr	false	false	false	true	false	false	false	false	false
3	Steampowered	sreampowerdr	false	true	false	false	true	false	false	false	false
3	Secureserver	swc7feserver	false	false	false	false	false	false	false	false	false
3	Espncricinfo	espmvricinto	false	true	false	false	false	false	false	false	false
2	Liveinternet	livdintsrnwt	false	false	true	true	false	false	false	false	false
3	Infusionsoft	infuxiinwoft	false	false	false	true	true	false	false	false	false
3	Secureserver	secudrserber	false	false	false	true	true	false	true	false	false
3	Infusionsoft	inf7siomsodt	false	false	false	true	false	false	false	false	false
3	Shutterstock	shytte5ztock	false	false	false	true	false	false	false	false	false
2	Surveymonkey	sjrv3ykonkey	false	false	true	true	true	false	false	false	false
3	Surveymonkey	survs7m0nkey	false	false	false	true	false	false	false	false	false
3	Spaceshipads	slwcesjipads	false	false	false	false	false	false	false	false	false
2	Mercadolivre	m3rcasol8vre	false	false	true	false	false	false	false	false	false
2	Shutterstock	whutterstov,	false	false	true	true	false	false	false	false	false
3	Surveymonkey	surveymomk4t	false	true	true	true	true	false	false	false	false
3	Steampowered	stewm;oaered	false	true	true	false	true	true	true	false	true
2	Infusionsoft	infjeionsoff	false	false	true	true	true	false	false	false	false
3	Secureserver	secu43sedver	false	false	false	false	false	false	false	false	false
2	Espncricinfo	espmc4kcinfo	false	false	true	false	true	false	false	false	false
3	Mercadolivre	mrrcado.ifre	false	true	false	false	false	false	false	false	false
3	Espncricinfo	wxpnfricinfo	false	true	false	true	true	false	false	false	false
3	Infusionsoft	intuskonwoft	false	false	false	true	false	false	false	false	false
2	Secureserver	sevu5exerver	false	false	true	true	true	false	false	false	false
2	Spaceshipads	apaveshipass	false	false	false	false	false	false	false	false	false
3	Mercadolivre	mefxadolibre	false	true	true	false	true	false	true	false	false
2	Steampowered	eteampo2efed	false	false	true	false	false	false	false	false	false
2	Surveymonkey	survw6mojkey	false	false	true	true	false	false	false	false	true
2	Spaceshipads	alaceshilads	false	false	false	false	false	false	false	false	false
3	Shutterstock	shuttefxtocm	false	false	false	true	true	false	false	false	false
2	Liveinternet	livein5e4nst	false	false	false	false	false	false	false	false	false
2	Steampowered	s6eaj;owered	false	false	false	false	false	false	false	false	false
3	Steampowered	steam;oaerec	true	true	true	false	true	true	true	false	true
2	Liveinternet	loveuntednet	false	false	false	false	false	false	false	false	false
2	Mercadolivre	merdado.ivrr	false	false	true	false	false	false	false	false	false
2	Extratorrent	extrar0rreht	false	false	true	true	true	false	false	false	false
2	Shutterstock	shu6twrxtock	false	false	true	true	false	false	false	false	false
2	Spaceshipads	s-acexyipads	false	false	false	false	false	false	false	false	false
2	Extratorrent	estratorr4ng	false	false	true	true	false	false	true	false	true
2	Steampowered	steampow3edd	false	true	true	true	true	false	false	false	false
3	Espncricinfo	rspnfeicinfo	false	true	false	false	true	false	true	false	false
2	Shutterstock	shutterxtoxi	false	true	true	false	true	false	false	false	false
2	Spaceshipads	spaceahupzds	false	false	false	false	false	false	false	false	false
2	Extratorrent	extrqt9rrebt	false	false	true	true	true	false	false	false	false
3	Surveymonkey	su5veympniey	false	false	false	true	true	false	false	false	false
2	Extratorrent	exttztkrrent	false	false	true	true	true	false	false	false	false
2	Infusionsoft	ijrusuonsoft	false	false	false	false	true	false	false	false	false
3	Spaceshipads	s0wceshi-ads	false	false	false	false	false	false	false	false	false
2	Liveinternet	livrihterhet	false	false	true	true	false	false	false	false	false
3	Liveinternet	kiv4interney	false	false	false	true	false	false	true	false	false
3	Espncricinfo	4spbcric9nfo	false	false	false	true	false	false	false	false	false
3	Mercadolivre	kercarolivde	false	false	false	true	true	false	false	false	false
3	Mercadolivre	meecad0livde	false	false	false	true	true	false	true	false	false
2	Mercadolivre	mercar0lkvre	false	false	true	true	true	false	false	false	false
3	Infusionsoft	infuziknsort	false	false	false	true	false	false	false	false	false
2	Shutterstock	ebu6terstock	false	true	true	true	true	false	false	false	true
3	Steampowered	xteampiaered	false	true	false	false	true	false	false	false	false
2	Surveymonkey	sudvdy,onkey	false	true	true	true	true	false	true	false	false
3	Extratorrent	ext4atorrdnf	false	false	false	true	true	false	false	false	false
3	Liveinternet	kkveintefnet	false	true	false	true	false	false	true	false	false
3	Secureserver	aedureserved	false	false	false	false	false	false	false	false	false
3	Liveinternet	liveiht4rnst	false	false	false	true	false	false	false	false	false
3	Spaceshipads	spacedui0ads	false	false	false	false	false	false	false	false	false
3	Mercadolivre	merfsdolivee	false	true	false	true	true	false	true	false	false
2	Secureserver	swcuressrger	false	false	true	true	true	false	false	false	false
2	Espncricinfo	espmcricunvo	false	true	true	false	true	false	false	false	false
2	Extratorrent	rstrato4rent	false	false	true	true	true	false	false	false	false
2	Espncricinfo	es[mcricinro	false	false	true	true	true	false	false	false	false
